combination,n_trades,win_rate,avg_return,median_return,std_return,profit_factor,sharpe,sortino,expectancy,max_drawdown,avg_drawdown,cagr_annualized,reward_risk_ratio,p_value,effect_size_cohens_d,p_value_vs_baseline,effect_size_vs_baseline,p_adjusted_vs_zero,significant_vs_zero,p_adjusted_vs_baseline,significant_vs_baseline,low_sample_warning,statistically_significant
ict_liquidity_buyside_pool_formed+ict_liquidity_buyside_swept,10282,0.5785839330869481,0.0075943109380083315,0.008276817159757588,0.05675883583150697,1.4537998449623921,0.6716687857831322,0.9803515034755368,0.00752060584615916,-0.768444870028999,-0.21631234548017575,0.16256149899765526,1.0542431553484215,1.425183497271823e-41,0.13379962479414897,0.27679625861662627,0.012553313399233632,2.948655511596875e-41,True,0.3133542550376901,False,False,False
ict_ndog_formed+smc_equal_highs,10547,0.5730539489902342,0.007412732274557485,0.007878492545795979,0.058636613822722256,1.4315282269062264,0.6346140792104833,0.9280262706189347,0.0073553196346195365,-0.820155929947544,-0.23123445351848515,0.15432525288168206,1.0629878693506194,2.999931034613425e-38,0.12641815055979544,0.41698895019113036,0.009351655462484789,5.624870689900172e-38,True,0.43893573704329514,False,False,False
ict_ndog_formed+ict_nwog_formed,421965,0.5698268813764175,0.0076228215526772955,0.007772568443809247,0.062358817121292244,1.42155264339993,0.6136463496530813,0.859246709734656,0.007541164982235681,-0.9999666043347902,-0.3189510501119965,0.15305936489187666,1.068332754277051,0.0,0.12224127885316324,0.05708781092174792,0.012457357330185655,0.0,True,0.0744623620718451,False,False,False
ict_mss_bullish+ict_ob_bullish_formed,8098,0.5698938009385033,0.0067314866294992835,0.00763062579292384,0.05894043833625547,1.3856244979220915,0.5733210618407947,0.8372895046080886,0.006630671926345755,-0.8153276475283316,-0.24760656576747272,0.13425043309207296,1.0397437998492314,1.2607915798750448e-24,0.11420828924101516,0.8777468766110722,-0.001947713919743754,1.759244064941923e-24,True,0.8777468766110722,False,False,False
ict_displacement_bullish+ict_liquidity_buyside_swept,14547,0.5726266584175431,0.0063427553475012815,0.007419944866950745,0.055941150853326925,1.3742385051340462,0.5691763336710801,0.8437033241212386,0.006260574497455436,-0.8009206612298534,-0.2468524758642746,0.12821261870819897,1.0206979149176885,2.6088058935908753e-42,0.1133826396266223,0.40591146715532317,-0.008587396896047686,5.797346430201945e-42,True,0.4349051433807034,False,False,False
ict_liquidity_buyside_swept+smc_internal_ob_bullish_formed,8534,0.5689008671197563,0.0061357387805110065,0.0070240638627807606,0.05551752731349729,1.3584925910183527,0.5548007217886786,0.8291041038746068,0.006065670336803532,-0.7200961078476924,-0.19942460426354744,0.12281163999648788,1.0252351912443345,2.4752603866786396e-24,0.11051894919353335,0.3212499071444228,-0.012139214386262732,3.3753550727435996e-24,True,0.35694434127158087,False,False,False
ict_mss_bullish+smc_internal_ob_bullish_formed,16790,0.5647409172126265,0.0063615505778072175,0.007314797098910253,0.060378732236202146,1.3470682985965277,0.528906939059723,0.7710126023946527,0.006280937532908162,-0.8941950121268367,-0.2744471896725246,0.12123042175162978,1.0336710546918726,3.288948081399336e-42,0.1053607842066106,0.42480518438645853,-0.007977917915587402,7.047745888712863e-42,True,0.43945363902047435,False,False,False
ict_mss_bullish+smc_internal_choch_bullish,12203,0.5660083586003442,0.006529778257675935,0.007625709425834071,0.06222877975933614,1.3468235129083241,0.5267534865498439,0.7602844484614052,0.006440481252649368,-0.8867217926436999,-0.26520551434674733,0.12277060155913104,1.0278133395887907,6.604341870231037e-31,0.10493180619850219,0.6425398333319725,-0.005147899559657814,1.1007236450385062e-30,True,0.653430338981667,False,False,False
smc_internal_choch_bullish+smc_internal_ob_bullish_formed,26575,0.5676387582314205,0.006328651394086107,0.0075573279931751,0.06032850698425177,1.3444002978097245,0.5266097148417604,0.7556715739223273,0.006256400309270799,-0.8778037615772739,-0.25664312974557896,0.12024044189820508,1.0199974417257074,3.252129121958209e-65,0.10490316618871649,0.3363194254131257,-0.008519654911566263,1.6260645609791044e-64,True,0.36689391863250076,False,False,False
ict_ndog_formed+smc_equal_lows,9388,0.5514486578610993,0.005956129249463301,0.005657969488019443,0.05882578867446026,1.33274052018798,0.5082725146421919,0.742827783467273,0.005909247715105138,-0.9364434732744753,-0.30596663902249815,0.11215802762898068,1.0812266147941891,1.3053535997263446e-22,0.10125030847311371,0.21766078184266277,-0.014795666218369315,1.7026351300778408e-22,True,0.2560715080501915,False,False,False
