#,Company,Symbol,Weight
1,NVIDIA Corp,NVDA,7.20%
2,Apple Inc,AAPL,6.81%
3,Microsoft Corp,MSFT,4.24%
4,Amazon.com Inc,AMZN,3.89%
5,Alphabet Inc,GOOGL,3.25%
6,Alphabet Inc,GOOG,3.02%
7,Broadcom Inc,AVGO,2.67%
8,Meta Platforms Inc,META,2.44%
9,Tesla Inc,TSLA,2.17%
10,Berkshire Hathaway Inc,BRK.B,1.57%
11,Micron Technology Inc,MU,1.55%
12,Eli Lilly & Co,LLY,1.54%
13,Walmart Inc,WMT,1.33%
14,JPMorgan Chase & Co,JPM,1.31%
15,Advanced Micro Devices Inc,AMD,1.27%
16,Visa Inc,V,0.99%
17,Johnson & Johnson,JNJ,0.91%
18,Exxon Mobil Corp,XOM,0.88%
19,Intel Corp,INTC,0.76%
20,Mastercard Inc,MA,0.69%
21,Cisco Systems Inc,CSCO,0.69%
22,Applied Materials Inc,AMAT,0.67%
23,AbbVie Inc,ABBV,0.64%
24,Caterpillar Inc,CAT,0.63%
25,Bank of America Corp,BAC,0.62%
26,Lam Research Corp,LRCX,0.60%
27,Costco Wholesale Corp,COST,0.60%
28,UnitedHealth Group Inc,UNH,0.57%
29,Oracle Corp,ORCL,0.55%
30,General Electric Co,GE,0.54%
31,Chevron Corp,CVX,0.53%
32,Coca-Cola Co/The,KO,0.53%
33,Morgan Stanley,MS,0.51%
34,Procter & Gamble Co/The,PG,0.50%
35,Home Depot Inc/The,HD,0.49%
36,Palantir Technologies Inc,PLTR,0.46%
37,Netflix Inc,NFLX,0.45%
38,Goldman Sachs Group Inc/The,GS,0.45%
39,Merck & Co Inc,MRK,0.45%
40,KLA Corp,KLAC,0.42%
41,Philip Morris International Inc,PM,0.41%
42,GE Vernova Inc,GEV,0.41%
43,Dell Technologies Inc,DELL,0.40%
44,International Business Machines Corp,IBM,0.40%
45,Texas Instruments Inc,TXN,0.40%
46,Palo Alto Networks Inc,PANW,0.39%
47,Wells Fargo & Co,WFC,0.39%
48,RTX Corp,RTX,0.39%
49,Sandisk Corp/DE,SNDK,0.36%
50,Linde PLC,LIN,0.35%
51,American Express Co,AXP,0.35%
52,Citigroup Inc,C,0.35%
53,Arista Networks Inc,ANET,0.33%
54,T-Mobile US Inc,TMUS,0.30%
55,Thermo Fisher Scientific Inc,TMO,0.29%
56,Marvell Technology,MRVL,0.29%
57,Seagate Technology Holdings PLC,STX,0.28%
58,Amgen Inc,AMGN,0.28%
59,QUALCOMM Inc,QCOM,0.28%
60,McDonald's Corp,MCD,0.28%
61,Amphenol Corp,APH,0.28%
62,Western Digital Corp,WDC,0.28%
63,Crowdstrike Holdings Inc,CRWD,0.28%
64,PepsiCo Inc,PEP,0.28%
65,Analog Devices Inc,ADI,0.27%
66,NextEra Energy Inc,NEE,0.27%
67,Verizon Communications Inc,VZ,0.26%
68,Charles Schwab Corp/The,SCHW,0.26%
69,Union Pacific Corp,UNP,0.25%
70,Boeing Co/The,BA,0.25%
71,Walt Disney Co/The,DIS,0.24%
72,TJX Cos Inc/The,TJX,0.24%
73,Welltower Inc,WELL,0.24%
74,Gilead Sciences Inc,GILD,0.24%
75,Abbott Laboratories,ABT,0.23%
76,Blackrock Inc,BLK,0.23%
77,Deere & Co,DE,0.23%
78,Corning Inc,GLW,0.23%
79,Eaton Corp PLC,ETN,0.23%
80,Uber Technologies Inc,UBER,0.22%
81,AT&T Inc,T,0.22%
82,Blackstone Inc,BX,0.22%
83,AppLovin Corp,APP,0.22%
84,Intuitive Surgical Inc,ISRG,0.21%
85,Danaher Corp,DHR,0.21%
86,Salesforce Inc,CRM,0.20%
87,Pfizer Inc,PFE,0.20%
88,Chubb Ltd,CB,0.20%
89,ConocoPhillips,COP,0.20%
90,Progressive Corp/The,PGR,0.20%
91,Booking Holdings Inc,BKNG,0.20%
92,CVS Health Corp,CVS,0.20%
93,Prologis Inc,PLD,0.19%
94,S&P Global Inc,SPGI,0.19%
95,Stryker Corp,SYK,0.19%
96,Capital One Financial Corp,COF,0.18%
97,Starbucks Corp,SBUX,0.18%
98,Vertex Pharmaceuticals Inc,VRTX,0.18%
99,Bristol-Myers Squibb Co,BMY,0.18%
100,Lockheed Martin Corp,LMT,0.18%
101,Altria Group Inc,MO,0.18%
102,Parker-Hannifin Corp,PH,0.18%
103,Fortinet Inc,FTNT,0.17%
104,Vertiv Holdings,VRT,0.17%
105,Lowe's Cos Inc,LOW,0.17%
106,ServiceNow Inc,NOW,0.17%
107,Southern Co/The,SO,0.16%
108,Howmet Aerospace Inc,HWM,0.16%
109,Medtronic PLC,MDT,0.16%
110,Trane Technologies PLC,TT,0.16%
111,Cadence Design Systems Inc,CDNS,0.15%
112,Bank of New York Mellon Corp/The,BNY,0.15%
113,Equinix Inc,EQIX,0.15%
114,PNC Financial Services Group Inc/The,PNC,0.15%
115,General Dynamics Corp,GD,0.15%
116,Automatic Data Processing Inc,ADP,0.15%
117,Newmont Corp,NEM,0.15%
118,Duke Energy Corp,DUK,0.14%
119,Robinhood Markets Inc,HOOD,0.14%
120,US Bancorp,USB,0.14%
121,Quanta Services Inc,PWR,0.14%
122,United Parcel Service Inc,UPS,0.14%
123,Marriott International Inc/MD,MAR,0.14%
124,McKesson Corp,MCK,0.14%
125,Waste Management Inc,WM,0.14%
126,Monster Beverage Corp,MNST,0.14%
127,Datadog Inc,DDOG,0.14%
128,Elevance Health Inc,ELV,0.13%
129,CSX Corp,CSX,0.13%
130,Constellation Energy Corp,CEG,0.13%
131,Cummins Inc,CMI,0.13%
132,Adobe Inc,ADBE,0.13%
133,Williams Cos Inc/The,WMB,0.13%
134,CME Group Inc,CME,0.13%
135,Valero Energy Corp,VLO,0.13%
136,Johnson Controls International plc,JCI,0.13%
137,Marsh & McLennan Cos Inc,MRSH,0.13%
138,KKR & Co Inc,KKR,0.13%
139,Airbnb Inc,ABNB,0.13%
140,HCA Healthcare Inc,HCA,0.13%
141,Marathon Petroleum Corp,MPC,0.13%
142,Moody's Corp,MCO,0.13%
143,Freeport-McMoRan Inc,FCX,0.13%
144,Comcast Corp,CMCSA,0.13%
145,Accenture PLC,ACN,0.12%
146,Synopsys Inc,SNPS,0.12%
147,DoorDash Inc,DASH,0.12%
148,3M Co,MMM,0.12%
149,Sherwin-Williams Co/The,SHW,0.12%
150,Cigna Group/The,CI,0.12%
151,Phillips 66,PSX,0.12%
152,Intuit Inc,INTU,0.12%
153,American Tower Corp,AMT,0.12%
154,Aon PLC,AON,0.11%
155,Illinois Tool Works Inc,ITW,0.11%
156,Intercontinental Exchange Inc,ICE,0.11%
157,Royal Caribbean Cruises Ltd,RCL,0.11%
158,Northrop Grumman Corp,NOC,0.11%
159,Mondelez International Inc,MDLZ,0.11%
160,Ecolab Inc,ECL,0.11%
161,Emerson Electric Co,EMR,0.11%
