symbol,company,gics_sector,gics_sub_industry,date_added,yf_symbol,retrieved_utc
MMM,3M,Industrials,Industrial Conglomerates,1957-03-04,MMM,2026-09-08T20:50:03
AOS,A. O. Smith,Industrials,Building Products,2017-07-26,AOS,2026-09-08T20:50:03
ABT,Abbott Laboratories,Health Care,Health Care Equipment,1957-03-04,ABT,2026-09-08T20:50:03
ABBV,AbbVie,Health Care,Biotechnology,2012-12-31,ABBV,2026-09-08T20:50:03
ACN,Accenture,Information Technology,IT Consulting & Other Services,2011-07-06,ACN,2026-09-08T20:50:03
ADBE,Adobe Inc.,Information Technology,Application Software,1997-05-05,ADBE,2026-09-08T20:50:03
AMD,Advanced Micro Devices,Information Technology,Semiconductors,2017-03-20,AMD,2026-09-08T20:50:03
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,1998-10-02,AES,2026-09-08T20:50:03
AFL,Aflac,Financials,Life & Health Insurance,1999-05-28,AFL,2026-09-08T20:50:03
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,2000-06-05,A,2026-09-08T20:50:03
APD,Air Products,Materials,Industrial Gases,1985-04-30,APD,2026-09-08T20:50:03
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2023-09-18,ABNB,2026-09-08T20:50:03
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,2007-07-12,AKAM,2026-09-08T20:50:03
ALB,Albemarle Corporation,Materials,Specialty Chemicals,2016-07-01,ALB,2026-09-08T20:50:03
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2017-03-20,ARE,2026-09-08T20:50:03
ALGN,Align Technology,Health Care,Health Care Supplies,2017-06-19,ALGN,2026-09-08T20:50:03
ALLE,Allegion,Industrials,Building Products,2013-12-02,ALLE,2026-09-08T20:50:03
LNT,Alliant Energy,Utilities,Electric Utilities,2016-07-01,LNT,2026-09-08T20:50:03
ALL,Allstate,Financials,Property & Casualty Insurance,1995-07-13,ALL,2026-09-08T20:50:03
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,2006-04-03,GOOGL,2026-09-08T20:50:03
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,2014-04-03,GOOG,2026-09-08T20:50:03
MO,Altria,Consumer Staples,Tobacco,1957-03-04,MO,2026-09-08T20:50:03
AMZN,Amazon,Consumer Discretionary,Broadline Retail,2005-11-18,AMZN,2026-09-08T20:50:03
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,2019-06-07,AMCR,2026-09-08T20:50:03
AEE,Ameren,Utilities,Multi-Utilities,1991-09-19,AEE,2026-09-08T20:50:03
AEP,American Electric Power,Utilities,Electric Utilities,1957-03-04,AEP,2026-09-08T20:50:03
AXP,American Express,Financials,Consumer Finance,1976-06-30,AXP,2026-09-08T20:50:03
AIG,American International Group,Financials,Multi-line Insurance,1980-03-31,AIG,2026-09-08T20:50:03
AMT,American Tower,Real Estate,Telecom Tower REITs,2007-11-19,AMT,2026-09-08T20:50:03
AWK,American Water Works,Utilities,Water Utilities,2016-03-04,AWK,2026-09-08T20:50:03
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2005-10-03,AMP,2026-09-08T20:50:03
AME,Ametek,Industrials,Electrical Components & Equipment,2013-09-23,AME,2026-09-08T20:50:03
AMGN,Amgen,Health Care,Biotechnology,1992-01-02,AMGN,2026-09-08T20:50:03
APH,Amphenol,Information Technology,Electronic Components,2008-09-30,APH,2026-09-08T20:50:03
ADI,Analog Devices,Information Technology,Semiconductors,1999-10-12,ADI,2026-09-08T20:50:03
AON,Aon plc,Financials,Insurance Brokers,1996-04-23,AON,2026-09-08T20:50:03
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,1997-07-28,APA,2026-09-08T20:50:03
APO,Apollo Global Management,Financials,Asset Management & Custody Banks,2024-12-23,APO,2026-09-08T20:50:03
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",1982-11-30,AAPL,2026-09-08T20:50:03
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,1995-03-16,AMAT,2026-09-08T20:50:03
APP,AppLovin,Communication Services,Advertising,2025-09-22,APP,2026-09-08T20:50:03
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,2012-12-24,APTV,2026-09-08T20:50:03
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,2022-11-01,ACGL,2026-09-08T20:50:03
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,1957-03-04,ADM,2026-09-08T20:50:03
ARES,Ares Management,Financials,Asset Management & Custody Banks,2025-12-11,ARES,2026-09-08T20:50:03
ANET,Arista Networks,Information Technology,Communications Equipment,2018-08-28,ANET,2026-09-08T20:50:03
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2016-05-31,AJG,2026-09-08T20:50:03
AIZ,Assurant,Financials,Multi-line Insurance,2007-04-10,AIZ,2026-09-08T20:50:03
T,AT&T,Communication Services,Integrated Telecommunication Services,1983-11-30,T,2026-09-08T20:50:03
ATO,Atmos Energy,Utilities,Gas Utilities,2019-02-15,ATO,2026-09-08T20:50:03
ADSK,Autodesk,Information Technology,Application Software,1989-12-01,ADSK,2026-09-08T20:50:03
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,1981-03-31,ADP,2026-09-08T20:50:03
AZO,AutoZone,Consumer Discretionary,Automotive Retail,1997-01-02,AZO,2026-09-08T20:50:03
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,1987-12-31,AVY,2026-09-08T20:50:03
AXON,Axon Enterprise,Industrials,Aerospace & Defense,2023-05-04,AXON,2026-09-08T20:50:03
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,2017-07-07,BKR,2026-09-08T20:50:03
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers",1984-10-31,BALL,2026-09-08T20:50:03
BAC,Bank of America,Financials,Diversified Banks,1976-06-30,BAC,2026-09-08T20:50:03
BAX,Baxter International,Health Care,Health Care Equipment,1972-09-30,BAX,2026-09-08T20:50:03
BDX,Becton Dickinson,Health Care,Health Care Equipment,1972-09-30,BDX,2026-09-08T20:50:03
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,2010-02-16,BRK-B,2026-09-08T20:50:03
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,1999-06-29,BBY,2026-09-08T20:50:03
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,2021-08-30,TECH,2026-09-08T20:50:03
BIIB,Biogen,Health Care,Biotechnology,2003-11-13,BIIB,2026-09-08T20:50:03
BLK,BlackRock,Financials,Asset Management & Custody Banks,2011-04-04,BLK,2026-09-08T20:50:03
BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,2023-09-18,BX,2026-09-08T20:50:03
XYZ,"Block, Inc.",Financials,Transaction & Payment Processing Services,2025-07-23,XYZ,2026-09-08T20:50:03
BNY,BNY Mellon,Financials,Asset Management & Custody Banks,1995-03-31,BNY,2026-09-08T20:50:03
BA,Boeing,Industrials,Aerospace & Defense,1957-03-04,BA,2026-09-08T20:50:03
BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2009-11-06,BKNG,2026-09-08T20:50:03
BSX,Boston Scientific,Health Care,Health Care Equipment,1995-02-24,BSX,2026-09-08T20:50:03
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,1957-03-04,BMY,2026-09-08T20:50:03
AVGO,Broadcom,Information Technology,Semiconductors,2014-05-08,AVGO,2026-09-08T20:50:03
BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,2018-06-18,BR,2026-09-08T20:50:03
BRO,Brown & Brown,Financials,Insurance Brokers,2021-09-20,BRO,2026-09-08T20:50:03
BF.B,Brown–Forman,Consumer Staples,Distillers & Vintners,1982-10-31,BF-B,2026-09-08T20:50:03
BLDR,Builders FirstSource,Industrials,Building Products,2023-12-18,BLDR,2026-09-08T20:50:03
BG,Bunge Global,Consumer Staples,Agricultural Products & Services,2023-03-15,BG,2026-09-08T20:50:03
BXP,"BXP, Inc.",Real Estate,Office REITs,2006-04-03,BXP,2026-09-08T20:50:03
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,2007-03-02,CHRW,2026-09-08T20:50:03
CDNS,Cadence Design Systems,Information Technology,Application Software,2017-09-18,CDNS,2026-09-08T20:50:03
CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,2022-04-04,CPT,2026-09-08T20:50:03
COF,Capital One,Financials,Consumer Finance,1998-07-01,COF,2026-09-08T20:50:03
CAH,Cardinal Health,Health Care,Health Care Distributors,1997-05-27,CAH,2026-09-08T20:50:03
CCL,Carnival Corporation,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1998-12-22,CCL,2026-09-08T20:50:03
CARR,Carrier Global,Industrials,Building Products,2020-04-03,CARR,2026-09-08T20:50:03
CVNA,Carvana,Consumer Discretionary,Automotive Retail,2025-12-22,CVNA,2026-09-08T20:50:03
CASY,Casey's,Consumer Staples,Food Retail,2026-04-09,CASY,2026-09-08T20:50:03
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,1957-03-04,CAT,2026-09-08T20:50:03
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,2017-03-01,CBOE,2026-09-08T20:50:03
CBRE,CBRE Group,Real Estate,Real Estate Services,2006-11-10,CBRE,2026-09-08T20:50:03
CDW,CDW Corporation,Information Technology,Technology Distributors,2019-09-23,CDW,2026-09-08T20:50:03
COR,Cencora,Health Care,Health Care Distributors,2001-08-30,COR,2026-09-08T20:50:03
CNC,Centene Corporation,Health Care,Managed Health Care,2016-03-30,CNC,2026-09-08T20:50:03
CNP,CenterPoint Energy,Utilities,Multi-Utilities,1985-07-31,CNP,2026-09-08T20:50:03
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,2008-08-27,CF,2026-09-08T20:50:03
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,2021-05-14,CRL,2026-09-08T20:50:03
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,1997-06-02,SCHW,2026-09-08T20:50:03
CHTR,Charter Communications,Communication Services,Cable & Satellite,2016-09-08,CHTR,2026-09-08T20:50:03
CVX,Chevron Corporation,Energy,Integrated Oil & Gas,1957-03-04,CVX,2026-09-08T20:50:03
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,2011-04-28,CMG,2026-09-08T20:50:03
CB,Chubb Limited,Financials,Property & Casualty Insurance,2010-07-15,CB,2026-09-08T20:50:03
CHD,Church & Dwight,Consumer Staples,Household Products,2015-12-29,CHD,2026-09-08T20:50:03
CIEN,Ciena,Information Technology,Communications Equipment,2026-02-09,CIEN,2026-09-08T20:50:03
CI,Cigna,Health Care,Health Care Services,1976-06-30,CI,2026-09-08T20:50:03
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,1997-12-18,CINF,2026-09-08T20:50:03
CTAS,Cintas,Industrials,Diversified Support Services,2001-03-01,CTAS,2026-09-08T20:50:03
CSCO,Cisco,Information Technology,Communications Equipment,1993-12-01,CSCO,2026-09-08T20:50:03
C,Citigroup,Financials,Diversified Banks,1988-05-31,C,2026-09-08T20:50:03
CFG,Citizens Financial Group,Financials,Regional Banks,2016-01-29,CFG,2026-09-08T20:50:03
CLX,Clorox,Consumer Staples,Household Products,1969-03-31,CLX,2026-09-08T20:50:03
CME,CME Group,Financials,Financial Exchanges & Data,2006-08-11,CME,2026-09-08T20:50:03
CMS,CMS Energy,Utilities,Multi-Utilities,1957-03-04,CMS,2026-09-08T20:50:03
KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages,1957-03-04,KO,2026-09-08T20:50:03
CTSH,Cognizant,Information Technology,IT Consulting & Other Services,2006-11-17,CTSH,2026-09-08T20:50:03
COHR,Coherent Corp.,Information Technology,Electronic Components,2026-03-23,COHR,2026-09-08T20:50:03
COIN,Coinbase,Financials,Financial Exchanges & Data,2025-05-19,COIN,2026-09-08T20:50:03
CL,Colgate-Palmolive,Consumer Staples,Household Products,1957-03-04,CL,2026-09-08T20:50:03
CMCSA,Comcast,Communication Services,Cable & Satellite,2002-11-19,CMCSA,2026-09-08T20:50:03
FIX,Comfort Systems USA,Industrials,Construction & Engineering,2025-12-22,FIX,2026-09-08T20:50:03
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,1957-03-04,COP,2026-09-08T20:50:03
ED,Consolidated Edison,Utilities,Multi-Utilities,1957-03-04,ED,2026-09-08T20:50:03
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,2005-07-01,STZ,2026-09-08T20:50:03
CEG,Constellation Energy,Utilities,Electric Utilities,2022-02-02,CEG,2026-09-08T20:50:03
COO,Cooper Companies (The),Health Care,Health Care Supplies,2016-09-23,COO,2026-09-08T20:50:03
CPRT,Copart,Industrials,Diversified Support Services,2018-07-02,CPRT,2026-09-08T20:50:03
GLW,Corning Inc.,Information Technology,Electronic Components,1995-02-27,GLW,2026-09-08T20:50:03
CPAY,Corpay,Financials,Transaction & Payment Processing Services,2018-06-20,CPAY,2026-09-08T20:50:03
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,2019-06-03,CTVA,2026-09-08T20:50:03
CSGP,CoStar Group,Real Estate,Real Estate Services,2022-09-19,CSGP,2026-09-08T20:50:03
COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail,1993-10-01,COST,2026-09-08T20:50:03
CRH,CRH plc,Materials,Construction Materials,2025-12-22,CRH,2026-09-08T20:50:03
CRWD,CrowdStrike,Information Technology,Systems Software,2024-06-24,CRWD,2026-09-08T20:50:03
CCI,Crown Castle,Real Estate,Telecom Tower REITs,2012-03-14,CCI,2026-09-08T20:50:03
CSX,CSX Corporation,Industrials,Rail Transportation,1957-03-04,CSX,2026-09-08T20:50:03
CMI,Cummins,Industrials,Construction Machinery & Heavy Transportation Equipment,1965-03-31,CMI,2026-09-08T20:50:03
CVS,CVS Health,Health Care,Health Care Services,1957-03-04,CVS,2026-09-08T20:50:03
DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,1998-11-18,DHR,2026-09-08T20:50:03
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,1995-05-31,DRI,2026-09-08T20:50:03
DDOG,Datadog,Information Technology,Application Software,2025-07-09,DDOG,2026-09-08T20:50:03
