signal,gross_mean_return,n_trades,breakeven_cost_bps,excess_return_vs_matched_random,breakeven_excess_cost_bps
ict_sweep_sellside_bullish,0.00821613475931871,49304,82.1613475931871,0.0011924374119934,11.924374119934
smc_internal_ob_bearish_mitigated,0.007867605595628564,42268,78.67605595628564,0.0007894579064166,7.894579064166
ict_nwog_gap_up,0.007667228761261797,147321,76.67228761261798,0.0004796404086103,4.796404086103
ict_liquidity_buyside_pool_formed,0.007429343087893899,58941,74.29343087893899,0.0005836387468518,5.836387468518
smc_swing_choch_bullish,0.007339301226392546,2699,73.39301226392546,0.0003925393569204,3.925393569204
ict_ob_bearish_mitigated,0.006846302245276783,20112,68.46302245276783,-0.0002387228098723,-2.387228098723
ict_mss_bullish,0.006759523312652582,36506,67.59523312652581,-0.0003555992330452,-3.5559923304520002
smc_swing_ob_bullish_formed,0.00657365176450604,7275,65.7365176450604,-0.0005533546743633,-5.533546743633001
smc_fvg_bullish_formed,0.0065334826287078195,68004,65.3348262870782,-0.0006007962813129,-6.007962813129
ict_liquidity_buyside_swept,0.006416726732818477,44261,64.16726732818478,-0.0004508547800315,-4.508547800315
smc_internal_choch_bullish,0.006395166219152226,26396,63.95166219152226,-0.0006866698692634,-6.8666986926339995
ict_bpr_bullish,0.006190668484569056,26830,61.906684845690556,-0.0010467486501385,-10.467486501385
smc_swing_bos_bullish,0.0061220591295340805,4576,61.2205912953408,-0.0011112585184269,-11.112585184269001
smc_equal_lows,0.005974045072359006,9341,59.74045072359006,-0.0010336660427048,-10.336660427047999
ict_displacement_bullish,0.005663123635550695,212461,56.63123635550696,-0.0015505495711958,-15.505495711958002
ict_fvg_bullish_formed,0.005641996502350616,112181,56.41996502350616,-0.001629683288859,-16.29683288859
ict_ob_bullish_formed,0.005528023388009605,32541,55.280233880096056,-0.001662538795285,-16.62538795285
smc_internal_ob_bullish_formed,0.005198425809633111,58340,51.98425809633111,-0.0019807272195576,-19.807272195575997
ict_volume_imbalance_bullish,0.0050128544465555605,117546,50.128544465555606,-0.0020803786229006,-20.803786229006
smc_swing_ob_bearish_mitigated,0.004391963490538017,3846,43.91963490538017,-0.0024770700045645,-24.770700045645
ict_bos_bullish,0.004352096135933683,80739,43.52096135933683,-0.0028827744758332,-28.827744758332
smc_internal_bos_bullish,0.004209534003670597,31944,42.09534003670597,-0.0030500340633582,-30.500340633582
smc_swing_choch_bearish,-0.003683011440427951,2653,-36.83011440427951,0.0032540845948921,32.540845948921
smc_swing_ob_bearish_formed,-0.004929878531640344,3898,-49.29878531640344,0.0019356407576345,19.356407576345
ict_sweep_buyside_bearish,-0.005924371965095585,65448,-59.24371965095585,0.0011368040029361,11.368040029361001
smc_swing_ob_bullish_mitigated,-0.00600414106250507,6776,-60.0414106250507,0.0010631976149431,10.631976149431
smc_internal_ob_bullish_mitigated,-0.007177100576663063,54035,-71.77100576663064,-5.290696452509708e-05,-0.5290696452509708
ict_nwog_gap_down,-0.007314332473051956,130643,-73.14332473051955,-0.00020736832731,-2.0736832731
smc_equal_highs,-0.0075341879060914245,10483,-75.34187906091424,-0.000577860132035,-5.77860132035
smc_swing_bos_bearish,-0.007586857160545146,1245,-75.86857160545146,-0.000873862455413,-8.73862455413
smc_internal_choch_bearish,-0.007668395934575993,26315,-76.68395934575993,-0.0005849856246539,-5.849856246539
ict_bpr_bearish,-0.007852787976803088,26182,-78.52787976803089,-0.0006902706375234,-6.902706375234
ict_liquidity_sellside_pool_formed,-0.008229674778572293,51635,-82.29674778572293,-0.0013425673016585,-13.425673016585002
ict_mss_bearish,-0.008462370119570873,36553,-84.62370119570872,-0.0013572258401894,-13.572258401893999
ict_ob_bearish_formed,-0.008674436595598117,22431,-86.74436595598117,-0.00164773102806,-16.4773102806
smc_internal_ob_bearish_formed,-0.008702431797914289,42864,-87.02431797914288,-0.0016320791248434,-16.320791248434
ict_fvg_bearish_formed,-0.008777823080069976,90730,-87.77823080069976,-0.0016581954811098,-16.581954811097997
ict_liquidity_sellside_swept,-0.008845383052689235,32884,-88.45383052689235,-0.001974759789555,-19.747597895549998
ict_displacement_bearish,-0.009015994204249776,190415,-90.15994204249776,-0.0018917293733527,-18.917293733527
ict_volume_imbalance_bearish,-0.009396932687033534,84642,-93.96932687033535,-0.0023161650417329,-23.161650417329
ict_ob_bullish_mitigated,-0.009423217195619194,20531,-94.23217195619193,-0.002447335667518,-24.473356675180003
smc_internal_bos_bearish,-0.010346679410685289,16549,-103.46679410685289,-0.0032970900292779,-32.970900292779
smc_fvg_bearish_formed,-0.010898351237571173,67673,-108.98351237571174,-0.0039394112594868,-39.394112594868005
ict_bos_bearish,-0.011988047447663911,42496,-119.88047447663911,-0.0049264369736044,-49.264369736044
