combination,n_trades,win_rate,avg_return,median_return,std_return,skewness,kurtosis,profit_factor,sharpe,sortino,expectancy,max_drawdown,avg_drawdown,calmar,cagr_annualized,reward_risk_ratio,p_value,effect_size_cohens_d,p_value_vs_baseline,effect_size_vs_baseline,matched_null_mean,excess_return_vs_matched_random,p_value_vs_matched_random,p_value_vs_matched_random_srs,p_adjusted_vs_zero,significant_vs_zero,p_adjusted_vs_baseline,significant_vs_baseline,p_adj_vs_matched_random,reject_vs_matched_random,low_sample_warning,beats_matched_random,statistically_significant
ict_liquidity_buyside_pool_formed+ict_liquidity_buyside_swept,10188,0.5808794660384766,0.007763552379887523,0.008454771017185392,0.05675747209479815,0.2870662036571535,5.7029908266733145,1.465475336071875,0.6866536193831675,0.9990406146590071,0.007763552379887521,-0.7674319599183677,-0.21190317846350548,0.21823300066555748,0.16747897941963522,1.0529234756636725,3.2023151079702324e-42,0.13678467509829523,0.3150136238028575,0.004591146623806609,0.006912665732347312,0.000850886647540211,0.30828215991359076,0.07329190035737253,7.685556259128557e-42,True,1.0,False,0.9995462817276003,False,False,False,False
ict_displacement_bearish+ict_sweep_buyside_bearish,18205,0.4399340840428454,-0.006280573982326601,-0.006918343957411421,0.060164418615521485,-0.12888919773506605,5.293641376228852,0.7487083737086829,-0.5240345023475685,-0.7472722846531491,-0.006280573982326596,-1.0,-0.9936804177174203,-0.1862144143818304,-0.1862144143818304,0.9507259533796112,8.516010746031296e-41,-0.10439017158068757,1.0,-0.22149525434216197,-0.007049485057555431,0.0007689110752288298,0.3334618524342786,0.041511980603708254,1.965233249084145e-40,True,1.0,False,0.9995462817276003,False,False,False,False
smc_internal_choch_bullish+smc_internal_ob_bearish_mitigated,9810,0.5743119266055046,0.007675555132344215,0.008283127273564062,0.05957027570084399,0.4893967962010106,6.871519448226865,1.441119597864037,0.6468155554230433,0.9576763797540878,0.007675555132344216,-0.8727115707185535,-0.2377129024953442,0.18385623772450208,0.16045346601095398,1.063829678295444,3.511154482136705e-37,0.12884874280068956,0.3787695025863921,0.0030695274735730595,0.007161691041297642,0.0005138640910465732,0.3733153086580522,0.20154283109536186,6.383917240248554e-37,True,1.0,False,0.9995462817276003,False,False,False,False
ict_fvg_bullish_formed+ict_nwog_gap_up,9993,0.5689982988091664,0.007891498365801372,0.007477493474224772,0.06309336723640825,1.0287206988349236,16.0523444173827,1.4426212095854922,0.6278791119883352,0.9318982168152085,0.007891498365801372,-0.8094835814848901,-0.20227791967465403,0.19911236079366873,0.16117818693317057,1.088435629462146,7.392161850530457e-35,0.125076512975322,0.2643519405666919,0.006382412583692094,0.007519396400310523,0.0003721019654908493,0.4397847323432256,0.2766766802513886,1.2672277458052212e-34,True,1.0,False,0.9995462817276003,False,False,False,False
smc_internal_ob_bearish_formed+smc_internal_ob_bullish_mitigated,12588,0.43477915475055606,-0.006649950773202103,-0.00881779828453444,0.07234368069843147,0.5164331444797234,6.400616571324214,0.768393491388357,-0.46144303994293717,-0.7017018896449603,-0.006649950773202108,-1.0,-0.9929974759458691,-0.20937621909080173,-0.20937621909080173,0.9961176359218696,1.3108159963996742e-24,-0.09192165381967198,1.0,-0.2068565269306005,-0.007016969318267959,0.00036701854506585637,0.4629216039874612,0.24895108748040717,1.673382123063414e-24,True,1.0,False,0.9995462817276003,False,False,False,False
ict_bpr_bullish+smc_fvg_bullish_formed,15080,0.561737400530504,0.007342220094637176,0.00758433596350272,0.06682764549551291,0.14465955985834478,4.872614200281763,1.362476768359105,0.5515330082617342,0.792956809439302,0.0073422200946371766,-0.9232642957198841,-0.3190324176768551,0.14825898097770554,0.136882223656529,1.0600973179382438,4.269510511611749e-40,0.10986800507778122,0.6012104489590282,-0.0021910406497313542,0.007115931485487067,0.00022628860915010866,0.46236069324416773,0.32447001876978915,9.14895109631089e-40,True,1.0,False,0.9995462817276003,False,False,False,False
ict_ob_bearish_mitigated+smc_internal_ob_bearish_mitigated,11344,0.5672602256699577,0.007177317955809797,0.00682586581218958,0.05655844063438395,0.492280768000493,6.009235176181029,1.4346581601152182,0.637037545306793,0.9610829192172429,0.0071773179558097915,-0.8672408048641362,-0.23036254953087232,0.17421316726622466,0.15108476739789106,1.0902064340269488,5.165934872970264e-40,0.12690091656180566,0.7137102578366512,-0.005102079346998103,0.007139510102071494,3.780785373830309e-05,0.4890683903040626,0.47398979730580987,1.06881411164902e-39,True,1.0,False,0.9995462817276003,False,False,False,False
smc_internal_choch_bearish+smc_internal_ob_bullish_mitigated,10102,0.4396159176400713,-0.007054767592918389,-0.007825928212191635,0.0678452346906817,0.185680769281584,6.65262307882664,0.7449229813591183,-0.5219917420929946,-0.7561082474592864,-0.0070547675929183845,-1.0,-0.9890806143021612,-0.21189422944573985,-0.21189422944573985,0.9463759200243516,1.7381032090796877e-25,-0.10398324399764124,1.0,-0.220349921427909,-0.006987447566304855,-6.732002661353348e-05,0.508082037430701,0.5446855695752443,2.3174709454395836e-25,True,1.0,False,0.9995462817276003,False,False,False,False
smc_internal_ob_bearish_mitigated+smc_internal_ob_bullish_formed,12402,0.5683760683760684,0.006993207945559259,0.007583134793676338,0.05890439601369256,0.5054367594839804,6.423111781516441,1.3992373612899096,0.5959763217600782,0.8919148453446252,0.006993207945559257,-0.9250229039498936,-0.24630306174981123,0.1534358234535589,0.14193165098095425,1.0578147110673752,8.796639662141361e-40,0.11872132504225423,0.817142081098552,-0.008001507621523922,0.00714927631970654,-0.0001560683741472814,0.5434937563806795,0.6116780955607385,1.7025754184789728e-39,True,1.0,False,0.9995462817276003,False,False,False,False
ict_mss_bearish+smc_internal_choch_bearish,12838,0.4372955288985823,-0.007343885064912647,-0.007666552034191643,0.06557665960661858,0.05986082545440825,7.140338872366524,0.7285416964209188,-0.5621818900320633,-0.8017245340923361,-0.007343885064912646,-1.0,-0.9882499326280547,-0.21494354758125314,-0.21494354758125314,0.9350094269171215,6.544319004479284e-38,-0.11198931310266734,1.0,-0.2287414389961295,-0.007047504967988109,-0.0002963800969245376,0.5419604339432776,0.7109066081588042,1.2270598133398658e-37,True,1.0,False,0.9995462817276003,False,False,False,False
