signal,cost_bps,n_trades,mean_net_return
ict_bos_bearish,0.0,42496,-0.011988047447663911
ict_bos_bullish,0.0,80739,0.004352096135933683
ict_bpr_bearish,0.0,26182,-0.007852787976803088
ict_bpr_bullish,0.0,26830,0.006190668484569056
ict_displacement_bearish,0.0,190415,-0.009015994204249776
ict_displacement_bullish,0.0,212461,0.005663123635550695
ict_fvg_bearish_formed,0.0,90730,-0.008777823080069976
ict_fvg_bullish_formed,0.0,112181,0.005641996502350616
ict_liquidity_buyside_pool_formed,0.0,58941,0.007429343087893899
ict_liquidity_buyside_swept,0.0,44261,0.006416726732818477
ict_liquidity_sellside_pool_formed,0.0,51635,-0.008229674778572293
ict_liquidity_sellside_swept,0.0,32884,-0.008845383052689235
ict_mss_bearish,0.0,36553,-0.008462370119570873
ict_mss_bullish,0.0,36506,0.006759523312652582
ict_nwog_gap_down,0.0,130643,-0.007314332473051956
ict_nwog_gap_up,0.0,147321,0.007667228761261797
ict_ob_bearish_formed,0.0,22431,-0.008674436595598117
ict_ob_bearish_mitigated,0.0,20124,0.006839692640547142
ict_ob_bullish_formed,0.0,32541,0.005528023388009605
ict_ob_bullish_mitigated,0.0,20562,-0.009388512304144128
ict_sweep_buyside_bearish,0.0,65448,-0.005924371965095585
ict_sweep_sellside_bullish,0.0,49304,0.00821613475931871
ict_volume_imbalance_bearish,0.0,84642,-0.009396932687033534
ict_volume_imbalance_bullish,0.0,117546,0.0050128544465555605
smc_equal_highs,0.0,10483,-0.0075341879060914245
smc_equal_lows,0.0,9341,0.005974045072359006
smc_fvg_bearish_formed,0.0,67673,-0.010898351237571173
smc_fvg_bullish_formed,0.0,68004,0.0065334826287078195
smc_internal_bos_bearish,0.0,16549,-0.010346679410685289
smc_internal_bos_bullish,0.0,31944,0.004209534003670597
smc_internal_choch_bearish,0.0,26315,-0.007668395934575993
smc_internal_choch_bullish,0.0,26396,0.006395166219152226
smc_internal_ob_bearish_formed,0.0,42864,-0.008702431797914289
