ticker,rows,start,end,missing_values,duplicate_dates,non_monotonic_index,invalid_ohlc_rows,zero_or_negative_price_rows,extreme_daily_move_rows,coverage_days,expected_busdays_approx,coverage_ratio,status
META,3537,2012-05-18,2026-06-12,0,0,False,0,0,0,3537,3670,0.964,OK
GOOGL,4136,2010-01-04,2026-06-12,0,0,False,0,0,0,4136,4289,0.964,OK
AVGO,4136,2010-01-04,2026-06-12,0,0,False,0,0,0,4136,4289,0.964,OK
MSFT,4136,2010-01-04,2026-06-12,0,0,False,0,0,0,4136,4289,0.964,OK
AAPL,4136,2010-01-04,2026-06-12,0,0,False,0,0,0,4136,4289,0.964,OK
AMZN,4136,2010-01-04,2026-06-12,0,0,False,0,0,0,4136,4289,0.964,OK
GOOG,4136,2010-01-04,2026-06-12,0,0,False,0,0,0,4136,4289,0.964,OK
NVDA,4136,2010-01-04,2026-06-12,0,0,False,0,0,0,4136,4289,0.964,OK
BRK-B,4136,2010-01-04,2026-06-12,0,0,False,0,0,0,4136,4289,0.964,OK
TSLA,4014,2010-06-29,2026-06-12,0,0,False,0,0,0,4014,4163,0.964,OK
AMD,4136,2010-01-04,2026-06-12,0,0,False,0,0,1,4136,4289,0.964,OK
LLY,4136,2010-01-04,2026-06-12,0,0,False,0,0,0,4136,4289,0.964,OK
V,4136,2010-01-04,2026-06-12,0,0,False,0,0,0,4136,4289,0.964,OK
JPM,4136,2010-01-04,2026-06-12,0,0,False,0,0,0,4136,4289,0.964,OK
MU,4136,2010-01-04,2026-06-12,0,0,False,0,0,0,4136,4289,0.964,OK
JNJ,4136,2010-01-04,2026-06-12,0,0,False,0,0,0,4136,4289,0.964,OK
WMT,4136,2010-01-04,2026-06-12,0,0,False,0,0,0,4136,4289,0.964,OK
XOM,4136,2010-01-04,2026-06-12,0,0,False,0,0,0,4136,4289,0.964,OK
INTC,4136,2010-01-04,2026-06-12,0,0,False,0,0,0,4136,4289,0.964,OK
CSCO,4136,2010-01-04,2026-06-12,0,0,False,0,0,0,4136,4289,0.964,OK
MA,4136,2010-01-04,2026-06-12,0,0,False,0,0,0,4136,4289,0.964,OK
ABBV,3382,2013-01-02,2026-06-12,0,0,False,0,0,0,3382,3507,0.964,OK
AMAT,4136,2010-01-04,2026-06-12,0,0,False,0,0,0,4136,4289,0.964,OK
BAC,4136,2010-01-04,2026-06-12,0,0,False,0,0,0,4136,4289,0.964,OK
CAT,4136,2010-01-04,2026-06-12,0,0,False,0,0,0,4136,4289,0.964,OK
COST,4136,2010-01-04,2026-06-12,0,0,False,0,0,0,4136,4289,0.964,OK
LRCX,4136,2010-01-04,2026-06-12,0,0,False,0,0,0,4136,4289,0.964,OK
UNH,4136,2010-01-04,2026-06-12,0,0,False,0,0,0,4136,4289,0.964,OK
ORCL,4136,2010-01-04,2026-06-12,0,0,False,0,0,0,4136,4289,0.964,OK
GE,4136,2010-01-04,2026-06-12,0,0,False,0,0,0,4136,4289,0.964,OK
CVX,4136,2010-01-04,2026-06-12,0,0,False,0,0,0,4136,4289,0.964,OK
KO,4136,2010-01-04,2026-06-12,0,0,False,0,0,0,4136,4289,0.964,OK
MS,4136,2010-01-04,2026-06-12,0,0,False,0,0,0,4136,4289,0.964,OK
PLTR,1432,2020-09-30,2026-06-12,0,0,False,0,0,0,1432,1487,0.963,OK
HD,4136,2010-01-04,2026-06-12,0,0,False,0,0,0,4136,4289,0.964,OK
PG,4136,2010-01-04,2026-06-12,0,0,False,0,0,0,4136,4289,0.964,OK
NFLX,4136,2010-01-04,2026-06-12,0,0,False,0,0,0,4136,4289,0.964,OK
GS,4136,2010-01-04,2026-06-12,0,0,False,0,0,0,4136,4289,0.964,OK
MRK,4136,2010-01-04,2026-06-12,0,0,False,0,0,0,4136,4289,0.964,OK
GEV,555,2024-03-27,2026-06-12,0,0,False,0,0,0,555,577,0.962,OK
PM,4136,2010-01-04,2026-06-12,0,0,False,0,0,0,4136,4289,0.964,OK
KLAC,4136,2010-01-04,2026-06-12,0,0,False,0,0,0,4136,4289,0.964,OK
DELL,2469,2016-08-17,2026-06-12,0,0,False,0,0,0,2469,2562,0.964,OK
PANW,3494,2012-07-20,2026-06-12,0,0,False,0,0,0,3494,3625,0.964,OK
IBM,4136,2010-01-04,2026-06-12,0,0,False,0,0,0,4136,4289,0.964,OK
SNDK,334,2025-02-13,2026-06-12,0,0,False,0,0,0,334,346,0.965,OK
TXN,4136,2010-01-04,2026-06-12,0,0,False,0,0,0,4136,4289,0.964,OK
WFC,4136,2010-01-04,2026-06-12,0,0,False,0,0,0,4136,4289,0.964,OK
LIN,4136,2010-01-04,2026-06-12,0,0,False,0,0,0,4136,4289,0.964,OK
RTX,4136,2010-01-04,2026-06-12,0,0,False,0,0,0,4136,4289,0.964,OK
AXP,4136,2010-01-04,2026-06-12,0,0,False,0,0,0,4136,4289,0.964,OK
C,4136,2010-01-04,2026-06-12,0,0,False,0,0,0,4136,4289,0.964,OK
ANET,3023,2014-06-06,2026-06-12,0,0,False,0,0,0,3023,3135,0.964,OK
