fold,train_start,train_end,test_start,test_end,n_signals,n_selected,train_excess_selected,test_excess_selected,test_excess_all,hit_rate_selected,rank_correlation
1,2010-01-05,2013-01-05,2013-01-05,2014-01-05,44,5,0.002638921963462,-0.0014989085484591,-0.0040180509253801,0.4,0.6350951374207188
2,2011-01-05,2014-01-05,2014-01-05,2015-01-05,44,5,0.0029696452898062,0.0038034697187048,-0.0017854254700008,1.0,0.4879492600422833
3,2012-01-05,2015-01-05,2015-01-05,2016-01-05,44,5,0.0039728571082297,0.0011758404546568,-0.0055148027962575,0.4,0.7726568005637773
4,2013-01-05,2016-01-05,2016-01-05,2017-01-05,44,5,0.0032215547211006,0.0012258870771609,-0.0017954741393359,0.6,0.6194503171247356
5,2014-01-05,2017-01-05,2017-01-05,2018-01-05,44,5,0.0043728830957221,0.003704439057297,-0.0018978366803856,1.0,0.7227625088090205
6,2015-01-05,2018-01-05,2018-01-05,2019-01-05,44,5,0.0028234358662981,0.00675454034475,-0.0048172591680281,0.8,0.6868217054263565
7,2016-01-05,2019-01-05,2019-01-05,2020-01-05,44,5,0.0038594382576442,0.0016264551735143,-0.0024720986030524,0.6,0.553629316420014
8,2017-01-05,2020-01-05,2020-01-05,2021-01-05,44,5,0.0034373343629502,-0.0066705452360009,0.0061333677556814,0.6,-0.2589147286821705
9,2018-01-05,2021-01-05,2021-01-05,2022-01-05,44,5,0.0162106475789678,-0.014511610275317,-0.0043755345508458,0.2,-0.1085271317829457
10,2019-01-05,2022-01-05,2022-01-05,2023-01-05,44,5,0.023860038523488,-0.0147089128372098,-0.0047580498184059,0.2,-0.1347427766032417
11,2020-01-05,2023-01-05,2023-01-05,2024-01-05,44,5,0.0126720635967749,-0.0053748351575533,-0.0009441338472368,0.2,-0.082875264270613
12,2021-01-05,2024-01-05,2024-01-05,2025-01-05,44,5,0.0027207751709472,0.0026561136064738,-0.0038213762856362,0.4,0.6242424242424242
13,2022-01-05,2025-01-05,2025-01-05,2026-01-05,44,5,0.0026340881299885,0.0006392050304397,-0.0042041442477118,0.6,0.5174066243833686
