signal,gross_mean_return,n_trades,breakeven_cost_bps,excess_return_vs_matched_random,breakeven_excess_cost_bps
ict_bos_bearish,-0.0119880474476639,42496,-119.88047447663912,-0.0049264369736044,-49.264369736044
smc_fvg_bearish_formed,-0.0108983512375711,67673,-108.98351237571174,-0.0039394112594868,-39.394112594868005
smc_internal_bos_bearish,-0.0103466794106852,16549,-103.46679410685287,-0.0032970900292779,-32.970900292779
smc_internal_bos_bullish,0.0042095340036705,31944,42.09534003670597,-0.0030500340633582,-30.500340633582
ict_bos_bullish,0.0043520961359336,80739,43.52096135933683,-0.0028827744758332,-28.827744758332
smc_swing_ob_bearish_mitigated,0.004391963490538,3846,43.91963490538017,-0.0024770700045645,-24.770700045645
ict_ob_bullish_mitigated,-0.0094232171956191,20531,-94.23217195619192,-0.002447335667518,-24.473356675180003
ict_volume_imbalance_bearish,-0.0093969326870335,84642,-93.96932687033537,-0.0023161650417329,-23.161650417329
ict_volume_imbalance_bullish,0.0050128544465555,117546,50.128544465555606,-0.0020803786229006,-20.803786229006
smc_internal_ob_bullish_formed,0.0051984258096331,58340,51.98425809633111,-0.0019807272195576,-19.807272195576
ict_liquidity_sellside_swept,-0.0088453830526892,32884,-88.45383052689235,-0.001974759789555,-19.74759789555
ict_displacement_bearish,-0.0090159942042497,190415,-90.15994204249776,-0.0018917293733527,-18.917293733527
ict_ob_bullish_formed,0.0055280233880096,32541,55.280233880096056,-0.001662538795285,-16.62538795285
ict_fvg_bearish_formed,-0.0087778230800699,90730,-87.77823080069976,-0.0016581954811098,-16.581954811097997
ict_ob_bearish_formed,-0.0086744365955981,22431,-86.74436595598117,-0.00164773102806,-16.4773102806
smc_internal_ob_bearish_formed,-0.0087024317979142,42864,-87.02431797914288,-0.0016320791248434,-16.320791248434
ict_fvg_bullish_formed,0.0056419965023506,112181,56.41996502350616,-0.001629683288859,-16.29683288859
ict_displacement_bullish,0.0056631236355506,212461,56.63123635550696,-0.0015505495711958,-15.505495711958002
ict_mss_bearish,-0.0084623701195708,36553,-84.62370119570872,-0.0013572258401894,-13.572258401894
ict_liquidity_sellside_pool_formed,-0.0082296747785722,51635,-82.29674778572293,-0.0013425673016585,-13.425673016585002
smc_swing_bos_bullish,0.006122059129534,4576,61.2205912953408,-0.0011112585184269,-11.112585184269
ict_bpr_bullish,0.006190668484569,26830,61.90668484569056,-0.0010467486501385,-10.467486501385
smc_equal_lows,0.005974045072359,9341,59.74045072359006,-0.0010336660427048,-10.336660427048
smc_swing_bos_bearish,-0.0075868571605451,1245,-75.86857160545146,-0.000873862455413,-8.73862455413
ict_bpr_bearish,-0.007852787976803,26182,-78.52787976803089,-0.0006902706375234,-6.902706375234
smc_internal_choch_bullish,0.0063951662191522,26396,63.95166219152226,-0.0006866698692634,-6.866698692634
smc_fvg_bullish_formed,0.0065334826287078,68004,65.3348262870782,-0.0006007962813129,-6.007962813129
smc_internal_choch_bearish,-0.0076683959345759,26315,-76.68395934575993,-0.0005849856246539,-5.849856246539
smc_equal_highs,-0.0075341879060914,10483,-75.34187906091424,-0.000577860132035,-5.77860132035
smc_swing_ob_bullish_formed,0.006573651764506,7275,65.7365176450604,-0.0005533546743633,-5.533546743633001
ict_liquidity_buyside_swept,0.0064167267328184,44261,64.16726732818478,-0.0004508547800315,-4.508547800315
ict_mss_bullish,0.0067595233126525,36506,67.59523312652581,-0.0003555992330452,-3.555992330452
ict_ob_bearish_mitigated,0.0068463022452767,20112,68.46302245276783,-0.0002387228098723,-2.387228098723
ict_nwog_gap_down,-0.0073143324730519,130643,-73.14332473051955,-0.00020736832731,-2.0736832731
smc_internal_ob_bullish_mitigated,-0.007177100576663,54035,-71.77100576663064,-5.290696452509708e-05,-0.5290696452509708
smc_swing_choch_bullish,0.0073393012263925,2699,73.39301226392546,0.0003925393569204,3.925393569204
ict_nwog_gap_up,0.0076672287612617,147321,76.67228761261798,0.0004796404086103,4.796404086103
ict_liquidity_buyside_pool_formed,0.0074293430878938,58941,74.29343087893899,0.0005836387468518,5.836387468518
smc_internal_ob_bearish_mitigated,0.0078676055956285,42268,78.67605595628564,0.0007894579064166,7.894579064166
smc_swing_ob_bullish_mitigated,-0.006004141062505,6776,-60.0414106250507,0.0010631976149431,10.631976149431
ict_sweep_buyside_bearish,-0.0059243719650955,65448,-59.24371965095585,0.0011368040029361,11.368040029361
ict_sweep_sellside_bullish,0.0082161347593187,49304,82.1613475931871,0.0011924374119934,11.924374119934
smc_swing_ob_bearish_formed,-0.0049298785316403,3898,-49.29878531640344,0.0019356407576345,19.356407576345
smc_swing_choch_bearish,-0.0036830114404279,2653,-36.83011440427951,0.0032540845948921,32.540845948921
