design,frame,test,reps,rejection_rate,mc_se,size_verdict,calibrated,mean_estimate,mean_reported_se,empirical_sd,se_ratio
independent,"real prices, paths fixed",srs,1000,0.057,0.0068920243760451,calibrated,True,-1.7121865626123374e-05,0.0008667563112317,0.0008819537280755,0.982768464648397
independent,"real prices, paths fixed",calendar,1000,0.0,0.0068920243760451,conservative,True,-1.712186562612431e-05,0.00158530708322,0.0008819537280755,1.7974946221717472
independent,"real prices, paths fixed",rotation,1000,0.058,0.0068920243760451,calibrated,True,-1.0134847498012752e-05,0.0008693279988872,0.0008840746963015,0.9833196250543198
semi,"real prices, paths fixed",srs,1000,0.281,0.0068920243760451,anti-conservative,False,0.0003741557861026,0.0008667563112317,0.0017176355589753,0.5046217788765127
semi,"real prices, paths fixed",calendar,1000,0.035,0.0068920243760451,calibrated,True,0.0003741557861026,0.002175554708942,0.0017176355589753,1.2665985503000765
semi,"real prices, paths fixed",rotation,1000,0.073,0.0068920243760451,anti-conservative,False,0.0003826525033303,0.0017672559729006,0.0017217170108416,1.026449736961562
clustered,"real prices, paths fixed",srs,1000,0.406,0.0068920243760451,anti-conservative,False,0.0003857443505027,0.0006274766508483,0.0026019502474852,0.2411562832359327
clustered,"real prices, paths fixed",calendar,1000,0.068,0.0068920243760451,anti-conservative,False,0.0003857443505027,0.0029004368540229,0.0026019502474852,1.1147164926870758
clustered,"real prices, paths fixed",rotation,1000,0.069,0.0068920243760451,anti-conservative,False,0.0003940443254,0.0026626891594191,0.0026077976001366,1.0210490105825567
sim_independent,"simulated GARCH panel, paths redrawn",srs,1000,0.051,0.0068920243760451,calibrated,True,5.896378736323859e-06,0.0008465604887198,0.0008342448240591,1.014762650370142
sim_independent,"simulated GARCH panel, paths redrawn",calendar,1000,0.0,0.0068920243760451,conservative,True,5.896378736323855e-06,0.0016839064213856,0.0008342448240591,2.018479914795695
sim_independent,"simulated GARCH panel, paths redrawn",rotation,1000,0.05,0.0068920243760451,calibrated,True,5.978129586773424e-06,0.0008499953903403,0.0008362805293587,1.016399832950848
sim_clustered,"simulated GARCH panel, paths redrawn",srs,1000,0.343,0.0068920243760451,anti-conservative,False,-9.19215790273048e-05,0.0006119742349315,0.0028041983973288,0.2182349991763946
sim_clustered,"simulated GARCH panel, paths redrawn",calendar,1000,0.03,0.0068920243760451,conservative,True,-9.19215790273048e-05,0.0030931420160058,0.0028041983973288,1.103039649032046
sim_clustered,"simulated GARCH panel, paths redrawn",rotation,1000,0.044,0.0068920243760451,calibrated,True,-9.231508763893604e-05,0.0027887412643195,0.0028112836416749,0.991981464615931
sim_vol_timed,"simulated GARCH panel, paths redrawn",srs,1000,0.383,0.0068920243760451,anti-conservative,False,0.0002086029513513,0.000847562112918,0.0058801712025429,0.1441390197196105
sim_vol_timed,"simulated GARCH panel, paths redrawn",calendar,1000,0.05,0.0068920243760451,calibrated,True,0.0002086029513513,0.0051255280922242,0.0058801712025429,0.8716630716479189
sim_vol_timed,"simulated GARCH panel, paths redrawn",rotation,1000,0.188,0.0068920243760451,anti-conservative,False,0.0002098175714576,0.0026627258670078,0.0059103462668034,0.4505194360546301
