signal,holding_period,direction,p_value,p_value_less,null_mean,null_se,observed_mean,excess_vs_rotation,n_offsets,n_trades,p_adj,reject,beats_rotation_null,p_value_two_sided,p_adj_two_sided,loses_to_rotation_null
ict_bos_bearish,1,-1,0.988144205177837,0.012097749818533753,-0.0007265062753092074,0.0004147847442147538,-0.0014764434836069072,-0.0007499372082976997,4132,42608,1.0,False,False,0.024195499637067505,0.09653686316761581,False
ict_bos_bullish,1,1,0.9789499153157513,0.021292039680619403,0.0007231629300119923,0.00026530230317139134,0.0003031934304968458,-0.0004199694995151465,4132,80902,1.0,False,False,0.04258407936123881,0.14841184094213922,False
ict_bpr_bearish,1,-1,0.2872005806919913,0.7130413743043794,-0.0007362636209242165,0.0003835974006082965,-0.0005268051726178116,0.00020945844830640484,4132,26235,1.0,False,False,0.5744011613839826,0.7516327464950255,False
ict_bpr_bullish,1,1,0.37140091942898623,0.6288410355673845,0.0007200251052431694,0.0003725813750434562,0.0008380224066125627,0.00011799730136939331,4132,26887,1.0,False,False,0.7428018388579725,0.8516815872247762,False
ict_displacement_bearish,1,-1,0.9697556254536657,0.030486329542705057,-0.0007272344804720272,0.00021139675910446595,-0.0011120999201006004,-0.0003848654396285732,4132,190920,1.0,False,False,0.060972659085410115,0.1888420187336405,False
ict_displacement_bullish,1,1,0.9487055407694169,0.051536414226953785,0.0007223079409992054,0.0001773884428302572,0.00043152570350952357,-0.0002907822374896818,4132,213004,1.0,False,False,0.10307282845390757,0.25668159001492336,False
ict_fvg_bearish_formed,1,-1,0.41204935881925964,0.5881925961771111,-0.000730242377011579,0.00030610331258313153,-0.0006650455300115498,6.519684700002925e-05,4132,90931,1.0,False,False,0.8240987176385193,0.8974200428349957,False
ict_fvg_bullish_formed,1,1,0.8066779578998307,0.19356399709654004,0.0007239249287517561,0.00023098732555158034,0.0005309701263475541,-0.00019295480240420196,4132,112426,1.0,False,False,0.3871279941930801,0.5859799713876966,False
ict_liquidity_buyside_pool_formed,1,1,0.4045487539317687,0.595693201064602,0.0006999189088789956,0.0002949961998390858,0.0007483286913956517,4.840978251665609e-05,4132,59107,1.0,False,False,0.8090975078635374,0.8934721744240043,False
ict_liquidity_buyside_swept,1,1,0.6980401645293975,0.30220179046697315,0.0006956830031239158,0.00022884137398258728,0.0005998527253718119,-9.583027775210396e-05,4132,44397,1.0,False,False,0.6044035809339463,0.7736365835954513,False
ict_liquidity_sellside_pool_formed,1,-1,0.6385192354222115,0.3617227195741592,-0.0007032453799885716,0.0003819510499527521,-0.0008087791199035552,-0.00010553373991498366,4132,51792,1.0,False,False,0.7234454391483184,0.8354856750742723,False
ict_liquidity_sellside_swept,1,-1,0.740866198887007,0.25937575610936364,-0.0007098741683191174,0.00031355389042195573,-0.0008837999410493414,-0.000173925772730224,4132,32983,1.0,False,False,0.5187515122187273,0.7160805188274195,False
ict_mss_bearish,1,-1,0.015969029760464555,0.9842729252359061,-0.0007287632216084431,0.00034606823915332436,-5.5090355122206336e-05,0.0006736728664862368,4132,36634,1.0,False,False,0.03193805952092911,0.12219779294964182,False
ict_mss_bullish,1,1,0.9182192112267118,0.08202274376965885,0.0007122275168188301,0.0003391500604677736,0.00034628906465544046,-0.00036593845216338964,4132,36614,1.0,False,False,0.1640454875393177,0.3416805420937268,False
ict_nwog_gap_down,1,-1,0.9518509557222357,0.04839099927413501,-0.0007218251027673429,0.0005204596934523055,-0.0016128717442753261,-0.0008910466415079833,4132,131146,1.0,False,False,0.09678199854827002,0.24866615685394924,False
ict_nwog_gap_up,1,1,0.4130171788047423,0.5872247761916284,0.0007238454756062636,0.00048279875309241714,0.0008279024520618802,0.00010405697645561661,4132,147587,1.0,False,False,0.8260343576094846,0.8974200428349957,False
ict_ob_bearish_formed,1,-1,0.07936123880958142,0.9208807161867892,-0.0007250895373343287,0.0003949598217711674,-0.00022506118829804353,0.0005000283490362851,4132,22494,1.0,False,False,0.15872247761916283,0.336953292622545,False
ict_ob_bearish_mitigated,1,1,0.5649649165255263,0.4352770384708444,0.0007090879733238207,0.0003131584197884773,0.0006632478937155191,-4.584007960830162e-05,4132,20178,1.0,False,False,0.8705540769416888,0.9147314480103717,False
ict_ob_bullish_formed,1,1,0.8562787321558191,0.14396322284055166,0.0007180598898740316,0.0002498259233362447,0.0004852658315055359,-0.00023279405836849573,4132,32613,1.0,False,False,0.2879264456811033,0.5067505443987418,False
ict_ob_bullish_mitigated,1,-1,1.0,0.00024195499637067505,-0.0007226349670959115,0.0005609128728756631,-0.0032231199810709775,-0.002500485013975066,4132,20604,1.0,False,False,0.0004839099927413501,0.008767123287671232,True
ict_sweep_buyside_bearish,1,-1,0.6271473505927897,0.37309460440358094,-0.0007211255511002463,0.00022206205062638666,-0.0007691415966597483,-4.8016045559502035e-05,4132,65619,1.0,False,False,0.7461892088071619,0.852787667208185,False
ict_sweep_sellside_bullish,1,1,0.6796515848052262,0.32059037019114445,0.0007084525074797092,0.0003348690566176192,0.0006196066845447786,-8.884582293493064e-05,4132,49450,1.0,False,False,0.6411807403822889,0.7947028894879075,False
ict_volume_imbalance_bearish,1,-1,0.9920154851197677,0.008226469876602952,-0.0007237815388803988,0.000283603543790265,-0.001424052588919327,-0.0007002710500389282,4132,84892,1.0,False,False,0.016452939753205904,0.07691022427864533,False
ict_volume_imbalance_bullish,1,1,1.0,0.00024195499637067505,0.0007130513832029661,0.00021940719968887746,-0.0001228709258249172,-0.0008359223090278834,4132,117776,1.0,False,False,0.0004839099927413501,0.008767123287671232,True
