signal,n_trades,mean_return,excess_return_vs_matched_random,p_value_vs_matched_random,ict.ob_swing_len,ict.mss_pivot_len
ict_bos_bearish,2900,-0.013513805236560027,-0.006513146678592198,0.9999999896330115,5,3
ict_bos_bullish,5209,0.0036532728221285735,-0.0032823190812607513,0.9999691455818238,5,3
ict_bpr_bearish,1571,-0.006550064246620952,0.00041763070175556815,0.3947298560327847,5,3
ict_bpr_bullish,1654,0.0047686407175905315,-0.002266561122639072,0.9316327193352766,5,3
ict_displacement_bearish,11216,-0.008984097761467795,-0.0020715408434005935,0.9999082563827013,5,3
ict_displacement_bullish,12445,0.005055933078069827,-0.001956241519769036,0.9999130127888889,5,3
ict_fvg_bearish_formed,5444,-0.008570794800043458,-0.001686954777227032,0.9803900339011776,5,3
ict_fvg_bullish_formed,6715,0.0047841951821926704,-0.0022197758812204016,0.9988261858794985,5,3
ict_liquidity_buyside_pool_formed,5833,0.008354626973040768,0.001575800665271485,0.019097015149771197,5,3
ict_liquidity_buyside_swept,4191,0.006005940249055651,-0.0007545197423901948,0.7999594184874924,5,3
ict_liquidity_sellside_pool_formed,5338,-0.007347618733726301,-0.00048507618786984043,0.7239815599218679,5,3
ict_liquidity_sellside_swept,3248,-0.00917992299356198,-0.002274083412018486,0.9833527203285589,5,3
ict_mss_bearish,2855,-0.008355461938923628,-0.0013957717953392654,0.8892555117697098,5,3
ict_mss_bullish,2853,0.005266212109819436,-0.0016985668885706401,0.9313653434857728,5,3
ict_nwog_gap_down,7771,-0.0074609541369354895,-0.0005185703297956677,0.7806794361952906,5,3
ict_nwog_gap_up,8734,0.006989213289592376,3.806788000517217e-05,0.47592891614316346,5,3
ict_ob_bearish_formed,2642,-0.009330013003352127,-0.0023869963274036387,0.9763018996164368,5,3
ict_ob_bearish_mitigated,2344,0.0059335573222840665,-0.001017286854936546,0.7880861329426505,5,3
ict_ob_bullish_formed,3584,0.00462327836817754,-0.002359210095666,0.9901590577938797,5,3
ict_ob_bullish_mitigated,2417,-0.010201649770921561,-0.0033351596569408132,0.9961323957973468,5,3
ict_sweep_buyside_bearish,3986,-0.006227945966601381,0.0005740228053981392,0.2706649712960655,5,3
ict_sweep_sellside_bullish,2994,0.008888587380150864,0.0019965831147496123,0.03593315470761973,5,3
ict_volume_imbalance_bearish,5045,-0.009415081939126553,-0.0025412157087679388,0.9987350022215988,5,3
ict_volume_imbalance_bullish,6878,0.003829990662614132,-0.002981997350039685,0.9999910864480701,5,3
smc_equal_highs,608,-0.006723847601595759,0.00015417538021324142,0.4750942388654891,5,3
smc_equal_lows,566,0.004623623441085305,-0.00262050862856175,0.8353347025597642,5,3
smc_fvg_bearish_formed,4076,-0.011046893020218933,-0.0041614177766649725,0.9999935601008247,5,3
