signal,n_trades,mean_return,excess_return_vs_matched_random,p_value_vs_matched_random,ict.ob_swing_len,ict.mss_pivot_len,ict.displacement_perc_body,ict.sweep_penetration_atr,smc.swing_len,smc.internal_len,draw
ict_bos_bearish,2147,-0.013688219980797469,-0.0066686179597563065,0.9999993997719223,7,9,0.12594414903070453,0.3751542930284718,49,10,1
ict_bos_bullish,4426,0.0036354512158144636,-0.0033099641160054196,0.9999028057519449,7,9,0.12594414903070453,0.3751542930284718,49,10,1
ict_bpr_bearish,413,-0.001444222217853771,0.005296036131121643,0.036734229841632125,7,9,0.12594414903070453,0.3751542930284718,49,10,1
ict_bpr_bullish,403,0.0034095855804383767,-0.003683765520232571,0.8785896305537785,7,9,0.12594414903070453,0.3751542930284718,49,10,1
ict_displacement_bearish,3514,-0.007417780377553427,-0.00048423523413694547,0.6797283514169871,7,9,0.12594414903070453,0.3751542930284718,49,10,1
ict_displacement_bullish,3868,0.004395607733062863,-0.002701636695730544,0.9969079968459127,7,9,0.12594414903070453,0.3751542930284718,49,10,1
ict_fvg_bearish_formed,2000,-0.00816309366209842,-0.0012653117380719845,0.82008411837174,7,9,0.12594414903070453,0.3751542930284718,49,10,1
ict_fvg_bullish_formed,2314,0.00466799008554115,-0.0024133111691170307,0.9690388042107544,7,9,0.12594414903070453,0.3751542930284718,49,10,1
ict_liquidity_buyside_pool_formed,1872,0.007598401485577107,0.0010160869770772726,0.226554095497343,7,9,0.12594414903070453,0.3751542930284718,49,10,1
ict_liquidity_buyside_swept,1510,0.006354940018023965,-0.00024650183779904595,0.5649450052117744,7,9,0.12594414903070453,0.3751542930284718,49,10,1
ict_liquidity_sellside_pool_formed,1574,-0.008801628944741385,-0.0020514824458542063,0.9076027465355052,7,9,0.12594414903070453,0.3751542930284718,49,10,1
ict_liquidity_sellside_swept,1061,-0.010804573737886613,-0.004086337285519151,0.9836410223816112,7,9,0.12594414903070453,0.3751542930284718,49,10,1
ict_mss_bearish,1604,-0.00875302745421967,-0.0017962000390009435,0.8796908377057586,7,9,0.12594414903070453,0.3751542930284718,49,10,1
ict_mss_bullish,1612,0.003924714673327392,-0.0030388371689885592,0.9766582233344182,7,9,0.12594414903070453,0.3751542930284718,49,10,1
