signal,n_configs,mean_excess,median_excess,std_excess,min_excess,max_excess,sign_consistency,coefficient_of_variation,responds_to_sweep,swept_range_bps
smc_swing_choch_bearish,16,0.00989252357985805,0.00989252357985805,0.0,0.00989252357985805,0.00989252357985805,1.0,0.0,False,0.0
smc_swing_ob_bearish_formed,16,0.009374033294855864,0.009374033294855864,0.0,0.009374033294855864,0.009374033294855864,1.0,0.0,False,0.0
smc_swing_bos_bearish,16,0.00812965661085061,0.00812965661085061,0.0,0.00812965661085061,0.00812965661085061,1.0,0.0,False,0.0
smc_swing_bos_bullish,16,0.0050690290112282285,0.0050690290112282285,0.0,0.0050690290112282285,0.0050690290112282285,1.0,0.0,False,0.0
smc_swing_ob_bullish_formed,16,0.0024256753384248354,0.0024256753384248354,0.0,0.0024256753384248354,0.0024256753384248354,1.0,0.0,False,0.0
ict_sweep_sellside_bullish,16,0.0019965831147496123,0.0019965831147496123,0.0,0.0019965831147496123,0.0019965831147496123,1.0,0.0,False,0.0
ict_liquidity_buyside_pool_formed,16,0.0018998197209843207,0.0017956804824456611,0.00043927656391326775,0.0014638013753412059,0.0025441165437047547,1.0,0.23122013055305743,True,10.80315168363549
smc_internal_choch_bullish,16,0.0007627751705171744,0.0007627751705171744,0.0,0.0007627751705171744,0.0007627751705171744,1.0,0.0,False,0.0
ict_sweep_buyside_bearish,16,0.0005740228053981392,0.0005740228053981392,0.0,0.0005740228053981392,0.0005740228053981392,1.0,0.0,False,0.0
ict_bpr_bearish,16,0.0005118745676782051,0.00048079992488337915,0.0002336694648107841,0.00023237547909580464,0.0008535229418502573,1.0,0.4564975085022835,True,6.2114746275445265
smc_swing_ob_bearish_mitigated,16,0.00022354924356010435,0.00022354924356010435,0.0,0.00022354924356010435,0.00022354924356010435,1.0,0.0,False,0.0
smc_equal_highs,16,0.00015417538021324142,0.00015417538021324142,0.0,0.00015417538021324142,0.00015417538021324142,1.0,0.0,False,0.0
ict_nwog_gap_up,16,3.806788000517217e-05,3.806788000517217e-05,0.0,3.806788000517217e-05,3.806788000517217e-05,1.0,0.0,False,0.0
