signal,n_trades_train,mean_return_train,matched_null_mean_train,excess_return_train,p_value_train,n_trades_test,mean_return_test,matched_null_mean_test,excess_return_test,p_value_test,fold,train_start,test_start,selected
ict_bos_bearish,6261,-0.013394725970733427,-0.005792859158289943,-0.0076018668124434845,1.0,1725,-0.023239563030847364,-0.009247985305192085,-0.013991577725655279,1.0,1,2010-01-05,2013-01-05,False
ict_bos_bullish,13898,0.0029769746993513935,0.007233925035332569,-0.004256950335981176,1.0,5832,0.008007996195632678,0.01400844648276572,-0.006000450287133042,1.0,1,2010-01-05,2013-01-05,False
ict_bpr_bearish,4035,-0.00886008490695063,-0.006655084149545383,-0.0022050007574052465,0.9918721601419291,1493,-0.01575332107491101,-0.01194503032546369,-0.003808290749447319,0.9991521265879366,1,2010-01-05,2013-01-05,False
ict_bpr_bullish,4375,0.005688196478128346,0.0068535313964262195,-0.0011653349182978731,0.9066523296266391,1405,0.013755754956049578,0.01247968986436489,0.0012760650916846875,0.1559609732921463,1,2010-01-05,2013-01-05,False
ict_displacement_bearish,31747,-0.00945708608554012,-0.0064825038136807935,-0.0029745822718593266,1.0,10237,-0.0158053597425646,-0.011991517028555368,-0.0038138427140092333,1.0,1,2010-01-05,2013-01-05,False
ict_displacement_bullish,36596,0.005353482303500658,0.006898505737035675,-0.0015450234335350164,0.9999999816226003,13105,0.010652569497932753,0.013031689106670973,-0.0023791196087382203,0.9999999998749884,1,2010-01-05,2013-01-05,False
ict_fvg_bearish_formed,14377,-0.008966766178728387,-0.006377321752423495,-0.002589444426304892,0.9999999594549566,4629,-0.01803250073885324,-0.011426195837604404,-0.006606304901248835,1.0,1,2010-01-05,2013-01-05,False
ict_fvg_bullish_formed,19242,0.004875467405183187,0.0070234776235419275,-0.0021480102183587405,0.99999995080789,7156,0.009677628644051799,0.013290687372139441,-0.003613058728087643,0.9999999999958377,1,2010-01-05,2013-01-05,False
ict_liquidity_buyside_pool_formed,9020,0.007388582460602398,0.0062204001878141775,0.0011681822727882202,0.020309644131485192,2497,0.012806685671221054,0.009406757601218157,0.0033999280700028976,5.9083632561444885e-05,1,2010-01-05,2013-01-05,False
ict_liquidity_buyside_swept,6957,0.004756063129316841,0.006349748460374564,-0.001593685331057723,0.9931749548104771,2029,0.011247329439194449,0.010069034085512121,0.0011782953536823276,0.11409174349458506,1,2010-01-05,2013-01-05,False
ict_liquidity_sellside_pool_formed,7389,-0.012237057377983328,-0.005995885035950525,-0.006241172342032803,1.0,1878,-0.01382071096271015,-0.007731452952757518,-0.006089258009952632,0.9999999915363639,1,2010-01-05,2013-01-05,False
ict_liquidity_sellside_swept,4559,-0.014508913279581988,-0.005817185337512601,-0.008691727942069388,1.0,1106,-0.016352509579975458,-0.006702765387110971,-0.009649744192864487,0.9999999999879425,1,2010-01-05,2013-01-05,False
ict_mss_bearish,6173,-0.010126067707346798,-0.006532214369999127,-0.0035938533373476708,0.9999997402807289,2123,-0.017381530805992185,-0.011978963086502129,-0.0054025677194900566,0.9999999796454733,1,2010-01-05,2013-01-05,False
ict_mss_bullish,6244,0.006290382431842582,0.006568560429744871,-0.0002781779979022887,0.6514736797204231,2120,0.013863579741391381,0.012076798780971067,0.0017867809604203144,0.03476025525581332,1,2010-01-05,2013-01-05,False
ict_nwog_gap_down,23688,-0.008831551188763921,-0.006595861668857313,-0.002235689519906608,0.9999999999013844,7483,-0.014258877706301333,-0.012238438479935538,-0.0020204392263657948,0.9999769162664667,1,2010-01-05,2013-01-05,False
ict_nwog_gap_up,24792,0.00522859459971597,0.00667325235460936,-0.0014446577548933902,0.9999841250260111,7997,0.014625540710872945,0.012994064954683438,0.0016314757561895071,0.0005932599703480665,1,2010-01-05,2013-01-05,False
ict_ob_bearish_formed,3489,-0.007639741781575627,-0.0060911251076067666,-0.0015486166739688608,0.9422461290598112,847,-0.018520587250611998,-0.009103500181722545,-0.009417087068889453,0.9999999897978651,1,2010-01-05,2013-01-05,False
ict_ob_bearish_mitigated,2831,0.004759616949012015,0.0065374778383384515,-0.0017778608893264363,0.9517384169957813,1063,0.01236975253015018,0.013058959731278144,-0.000689207201127964,0.6783976694237112,1,2010-01-05,2013-01-05,False
ict_ob_bullish_formed,5355,0.004661079117699322,0.0071799870814549995,-0.0025189079637556776,0.9995537033541634,2162,0.009727386352003214,0.013778983835573466,-0.004051597483570252,0.999981853297663,1,2010-01-05,2013-01-05,False
ict_ob_bullish_mitigated,2657,-0.004511415515618954,-0.0062425409755355755,0.0017311254599166213,0.060037078962973264,607,-0.018960223708227312,-0.008104454055510715,-0.010855769652716597,0.9999999772014126,1,2010-01-05,2013-01-05,True
ict_sweep_buyside_bearish,10550,-0.005734969522534675,-0.00700023224633753,0.001265262723802855,0.0082583275977863,3774,-0.01191493823895065,-0.012853459656061574,0.0009385214171109234,0.09939807434313425,1,2010-01-05,2013-01-05,False
ict_sweep_sellside_bullish,7643,0.008904040303955422,0.006364240324008736,0.002539799979946686,3.403673396092825e-05,2110,0.016540482231201036,0.009710603558401757,0.006829878672799279,3.3935109043544123e-12,1,2010-01-05,2013-01-05,True
ict_volume_imbalance_bearish,15349,-0.009838610444609153,-0.006433966636073926,-0.0034046438085352264,0.9999999999999911,3995,-0.014087703467698678,-0.012068195014141163,-0.002019508453557516,0.9980647452477756,1,2010-01-05,2013-01-05,False
ict_volume_imbalance_bullish,20585,0.0031847617503795245,0.00670207137584152,-0.0035173096254619953,1.0,6612,0.013137434204489134,0.012929104011190351,0.00020833019329878286,0.34686220069582563,1,2010-01-05,2013-01-05,False
smc_equal_highs,1494,-0.009852808460934746,-0.006242928669756868,-0.0036098797911778783,0.9945759092139214,642,-0.017689148460482196,-0.011779672452187789,-0.005909476008294407,0.9994824695188528,1,2010-01-05,2013-01-05,False
smc_equal_lows,1418,0.005955704541051968,0.006341593711382373,-0.00038588917033040467,0.6000851841398263,526,0.015074987349165818,0.011437184174947955,0.0036378031742178626,0.034051811215984086,1,2010-01-05,2013-01-05,False
smc_fvg_bearish_formed,9701,-0.007795052566856492,-0.006393292940995365,-0.0014017596258611266,0.9918748779641097,2166,-0.018824178728958724,-0.010979969996118047,-0.007844208732840677,0.9999999999999982,1,2010-01-05,2013-01-05,False
smc_fvg_bullish_formed,10701,0.002937068850133939,0.007160724704083294,-0.004223655853949355,0.9999999999999856,2795,0.009931785732457007,0.013567636853102995,-0.0036358511206459887,0.9999680546349132,1,2010-01-05,2013-01-05,False
smc_internal_bos_bearish,2946,-0.011780796275730978,-0.005793723587900866,-0.005987072687830112,0.9999999627688483,571,-0.029082207961280766,-0.009452969535160954,-0.019629238426119813,1.0,1,2010-01-05,2013-01-05,False
smc_internal_bos_bullish,5720,0.0032110004796964257,0.007421016421322028,-0.004210015941625603,0.9999999956671302,2345,0.008034210136715198,0.015004774452902936,-0.006970564316187738,0.9999999999999434,1,2010-01-05,2013-01-05,False
smc_internal_choch_bearish,4276,-0.00762738615916437,-0.006528997599595533,-0.001098388559568837,0.8976778869290739,1439,-0.01600135493122944,-0.011612910083593928,-0.004388444847635512,0.9998261093132758,1,2010-01-05,2013-01-05,False
smc_internal_choch_bullish,4494,0.0029748575296233027,0.00652727333505248,-0.003552415805429177,0.9999871244606986,1410,0.014237274084681143,0.011892057777706168,0.0023452163069749756,0.028973285303485686,1,2010-01-05,2013-01-05,False
smc_internal_ob_bearish_formed,7222,-0.009321646226099461,-0.006229064445558912,-0.0030925817805405494,0.9999972259253835,2010,-0.019717358453696755,-0.010999315032272918,-0.008718043421423837,0.9999999999999999,1,2010-01-05,2013-01-05,False
smc_internal_ob_bearish_mitigated,7037,0.006946125937988804,0.006330194246923741,0.0006159316910650629,0.18475585623332313,2058,0.017818868178248494,0.011612562506974924,0.00620630567127357,1.6933821158954257e-09,1,2010-01-05,2013-01-05,False
smc_internal_ob_bullish_formed,10214,0.003107101280790158,0.00702778346364675,-0.003920682182856591,0.9999999999995496,3755,0.010363456519306938,0.013835951413747829,-0.0034724948944408907,0.999998557607579,1,2010-01-05,2013-01-05,False
smc_internal_ob_bullish_mitigated,8985,-0.0043886787168925965,-0.006828079677000106,0.0024394009601075095,1.5846771840467815e-05,3074,-0.014035146460287381,-0.012971509690235654,-0.001063636770051727,0.9003274878369341,1,2010-01-05,2013-01-05,True
smc_swing_bos_bearish,271,-0.008427563536624572,-0.004263106404246264,-0.004164457132378308,0.8642920672683492,20,-0.014623731275237018,-0.0006754366370183495,-0.013948294638218669,0.8646706372853685,1,2010-01-05,2013-01-05,False
smc_swing_bos_bullish,680,0.005554469515159275,0.008109522617747902,-0.0025550531025886275,0.8973840040303656,378,0.009705806087392277,0.012111687334973647,-0.0024058812475813707,0.8535347920787584,1,2010-01-05,2013-01-05,False
smc_swing_choch_bearish,251,-0.01022980141184392,-0.005469765012001072,-0.0047600363998428485,0.8956056502786577,50,-0.021054244855163985,-0.0008648268294789985,-0.020189418025684986,0.9969799037570664,1,2010-01-05,2013-01-05,False
smc_swing_choch_bullish,376,0.008120188324251477,0.005509033742507203,0.0026111545817442735,0.19681663982527148,90,0.015226793036342907,0.01351332301761484,0.001713470018728066,0.3813971622088655,1,2010-01-05,2013-01-05,True
smc_swing_ob_bearish_formed,522,-0.009294156844440772,-0.004843319642841008,-0.004450837201599764,0.951717048980514,70,-0.019216955260899136,-0.0008107153459188134,-0.018406239914980322,0.9980614591942719,1,2010-01-05,2013-01-05,False
smc_swing_ob_bearish_mitigated,510,0.006526173751171638,0.004977327693928258,0.0015488460572433797,0.2835559253233104,75,0.008765287171160478,0.003989799164501333,0.004775488006659145,0.2236348761315678,1,2010-01-05,2013-01-05,False
