fold,train_start,train_end,test_start,test_end,n_signals,n_selected,train_excess_selected,test_excess_selected,test_excess_all,hit_rate_selected,rank_correlation
1,2010-01-05,2013-01-05,2013-01-05,2014-01-05,44,5,0.0021493023325290317,-0.0019210366218629159,-0.004956324152080846,0.6,0.5430584918957012
2,2011-01-05,2014-01-05,2014-01-05,2015-01-05,44,5,0.0024877825259715515,0.0035630137182261724,-0.0034406342704142293,1.0,0.3930937279774489
3,2012-01-05,2015-01-05,2015-01-05,2016-01-05,44,5,0.001943704776612543,-0.0025848077517374836,-0.006659353056195391,0.0,0.7374207188160677
4,2013-01-05,2016-01-05,2016-01-05,2017-01-05,44,5,0.0017861264542934226,0.00039902830793532123,-0.002441997037139733,0.6,0.6773784355179704
5,2014-01-05,2017-01-05,2017-01-05,2018-01-05,44,5,0.003213080561111087,0.00032725453539103405,-0.002543669333337389,0.6,0.719520789288231
6,2015-01-05,2018-01-05,2018-01-05,2019-01-05,44,5,0.002278844528676184,0.0014470389935132394,-0.006220773342151895,0.4,0.6821705426356589
7,2016-01-05,2019-01-05,2019-01-05,2020-01-05,44,5,0.0020030884354829298,-0.0009962802736195194,-0.003301619938257791,0.4,0.35348837209302325
8,2017-01-05,2020-01-05,2020-01-05,2021-01-05,44,5,0.0015182301148344338,0.004663489112359898,0.00827095912490359,0.8,-0.2582100070472163
9,2018-01-05,2021-01-05,2021-01-05,2022-01-05,44,5,0.017773924140472075,-0.01996009935793873,-0.005851568184751564,0.0,-0.21705426356589144
10,2019-01-05,2022-01-05,2022-01-05,2023-01-05,44,5,0.026520805505848823,-0.02002025393686962,-0.006041004201239004,0.0,-0.19252995066948556
11,2020-01-05,2023-01-05,2023-01-05,2024-01-05,44,5,0.013625502620566953,-0.008214553686263405,-0.0017267889892725945,0.0,-0.10387596899224806
12,2021-01-05,2024-01-05,2024-01-05,2025-01-05,44,5,0.002447878593179561,-0.0022764262702031418,-0.005238617176489499,0.2,0.6194503171247356
13,2022-01-05,2025-01-05,2025-01-05,2026-01-05,44,5,0.001966384267821552,-0.005531503102048647,-0.005364323027423814,0.2,0.4906272022551092
